"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"361","6D101",1500882769,24.6608565,59.401646,4,59.4011645,24.65985
"362","6D101",1500882835,24.6598275,59.401155,4,59.400657,24.6599655
"363","6D101",1500882895,24.6599785,59.4006455,4,59.4000415,24.660641
"364","6D101",1500882961,24.660642,59.4000406666667,3,59.3994835,24.661312
"365","6D101",1500883026,24.6613245,59.3994705,4,59.3989525,24.6619235
"366","6D101",1500883107,24.6619385,59.39894,4,59.3983415,24.6626395
"367","6D101",1500883179,24.662649,59.398333,4,59.397882,24.663256
"368","6D101",1500883279,24.663275,59.397871,3,59.397457,24.664094
"369","6D101",1500883346,24.664094,59.397456,3,59.397438,24.663662
"370","6D101",1500883456,24.663644,59.397444,4,59.3976065,24.6632725
"371","6D101",1500883578,24.6632625,59.397612,4,59.398076,24.662467
"372","6D101",1500883646,24.662454,59.3980875,4,59.398177,24.66136
"373","6D101",1500883712,24.66136,59.398177,3,59.398513,24.661264
"374","6D101",1500883820,24.6612535,59.3985185,4,59.3983975,24.6603445
"375","6D101",1500883901,24.660325,59.3983923333333,3,59.3986555,24.6596015
"376","6D101",1500883961,24.6596005,59.3986705,3,59.398928,24.6605135
"377","6D101",1500884021,24.6605323333333,59.398929,3,59.3991865,24.6611535
"378","6D101",1500884081,24.6611475,59.399195,4,59.399832,24.660413
